id,carry_type,score
110449466150002688,3,168
126448067271589889,1,2
126448067271589889,3,93
177432129460895745,1,4
177432129460895745,3,176
180398198731440137,3,616
184779450808795156,1,28
184779450808795156,3,4
191372647735492608,1,2
206632503656710144,1,15
211635709847666688,3,94
220073204683767809,3,216
222968429777256449,1,31
226470121563095040,1,18
235890537251602432,1,2
247434995688407051,1,17
247434995688407051,2,10
251331633318330369,4,7
255327008576241674,1,110
256122701884817419,1,1663
256122701884817419,2,13
256122701884817419,3,1
257105883559886848,1,41
257625152878149632,1,116
268855497682190336,1,6
269170727947599872,1,294
274955334475448321,1,1
282948817282662402,1,82
292285308580659200,1,32
298173563603648513,1,2
298173563603648513,3,371
302470651460190209,1,25
302486608396156928,1,64
306140874335846411,1,23
310194745466945566,3,72
312780855133339658,3,14
314138115251896320,1,6
317394238205853696,1,42
317467270685392896,1,64
319473346595258369,1,31
320298518130458624,1,898
320663540455178244,1,99
320677214654038017,1,55
320677214654038017,3,30
322495452710961154,3,120
323727902245912578,1,4
324326344412626945,1,56
327059932945973248,1,117
330512497951899649,1,15
331052912149004289,3,69
331215320654282758,1,847
331215320654282758,2,65
337851529325314049,1,89
339717458376261634,1,215
342887154017632257,1,87
349003721793077251,1,3
349537799722237964,1,2
350712591288500224,1,12
356134481452597250,1,258
356134481452597250,3,197
356134481452597250,4,0
356559845236932618,1,50
356559845236932618,2,5
356559845236932618,3,75
358935258537787392,3,84
359314447992487936,1,27
361185457033314305,1,60
361185457033314305,3,8
362911597183893505,1,6
381102853131075586,1,9
382366742254452739,3,208
382988984449630219,1,145
386482662908493824,1,72
390551076295671808,1,44
396724559493201930,2,5
403594293903753217,1,32
406530697403039746,1,122
407313156722130944,1,3
408320569348456448,3,21
411916562723897364,1,130
414823176971878400,1,9
416784745414787074,1,126
417719154473304077,1,4
417731106394079235,1,8
422412096463175680,1,133
424310292411973654,1,146
424977521692639253,1,20
427183306862231573,1,20
427621308252160000,1,12
428963389054779403,1,22
429643127259922432,3,41
429759315285377026,1,28
429759315285377026,3,3676
430682968370184202,1,12
431517866483777536,1,36
431795358536826890,1,108
431795358536826890,2,270
434769336859754506,1,6
435491743937593354,1,58
436030221745913857,1,25
436830663581106186,1,12
437029429407907843,1,21
439829371822407680,1,6
440782684197879809,1,2
444645441980858368,1,48
444645441980858368,3,1109
445700328260632576,1,2
446684207175958530,1,6
447793347503849483,1,50
448516647742078996,1,448
448516647742078996,3,1194
448516647742078996,4,39
449468151026155520,1,104
449468151026155520,3,59
450936922613874689,1,4
451167640577245184,3,10
451472015120138260,1,69
460795363155247125,2,5
460812251105067028,3,72
461973997437976586,1,77
461973997437976586,3,2152
462554041440796674,1,156
463496478099243008,1,8
463660046296023051,1,14
465913291542364180,3,1133
467623277741735936,1,4
469885050004045824,1,4
472328175758606356,1,147
475039477316714517,1,24
476117468688023555,1,2
477055910225772554,1,42
477410612960559104,1,12
479063475600228362,1,18
479893165646544908,1,43
481428035556605952,1,20
481558030560002070,1,4
484508659116671008,1,33
485078933247885313,3,40
485623087744811008,1,3
491445197255737355,2,15
491445197255737355,3,33
492322546855837703,1,66
493519656485781535,1,132
496829577692446730,3,6
500824605246881792,3,13
501055704812093470,1,128
501055704812093470,3,22
504606554910359562,1,22
506532368622813205,1,223
506548230507593748,1,83
508294702160805892,1,100
510493771947966464,1,40
511195123653017611,3,108
511290992041918498,1,24
513475066139508737,1,149
513475066139508737,3,104
514832950265643019,1,16
514832950265643019,3,126
516014802267668510,1,9
516014802267668510,3,66
516014802267668510,4,2
521227211248893962,1,29
523579580993241098,3,21
523816595991298065,1,171
526261594800390144,1,563
527501405754359808,4,22
528840772368465922,1,2
530459104536428544,3,425
530713623853531154,1,2
531094512819240960,1,5
531094512819240960,3,9
531485809212129290,1,210
534715144794537984,1,137
535130368404226049,1,23
535418797067206676,1,136
536157612769542145,1,5
539421186459959296,1,24
541283266297069583,1,30
541632090240843776,1,14
544805031837171713,1,2
545961844972716034,1,28
547508900220370979,1,12
547513111951704065,3,342
547887945441476608,1,11
551500123981742090,1,15
552568337629052948,1,112
556153712532258826,1,9
558143553558151175,3,372
559137890467053608,1,18
561187666339561475,1,26
561893110976610304,3,15
564353701003657216,1,4
565519369921101843,3,5
566566881679376394,3,8
569506490705117192,1,9
570267487393021969,1,6
570267487393021969,3,6
570411065784139814,1,2
570411065784139814,3,119
571295050303012901,1,38
573891831524229141,1,2
573902246924779520,1,81
574048571364605992,1,45
574048571364605992,3,388
576604482708832257,1,207
576899415185424424,3,23
584092935914651658,1,15
585923691490312194,1,38
589378233695338507,1,2
594236901377048606,3,238
594328037416239137,1,123
594699772250685440,1,158
594876983188389889,1,3
596167663156461578,1,9
597761579492311041,1,150
597761579492311041,3,120
601691185144135699,1,16
605259346602885120,1,37
605729651087638573,1,29
605825763920445480,1,7
614113475664543764,1,5
620620895312150528,1,9
624816573919789056,1,54
625396652160581662,2,25
627130208780025856,1,26
628573710013562911,3,102
628709323068932125,1,11
632306871423860736,1,36
633806750885347338,1,24
634476639203360779,1,309
634476639203360779,3,42
635179004566962186,1,6
635182557717200916,1,141
635923043985653801,1,28
642061851798142991,1,3
644692456201519105,1,45
644692456201519105,3,104
645301647278604298,1,2
645301647278604298,3,71
645983752467775500,1,129
645983752467775500,3,14
646469411099770890,1,0
650091855060664400,3,30
650520515626139668,1,164
651747408589619210,1,6
651874995202555926,1,19
654527180956631054,1,130
657676444474015775,1,4
660903518236049408,1,10
662026294460153856,3,45
662031045348032534,1,6
666022783620349993,1,4
666041869561626625,1,3
667123457372192771,1,62
668129239543054347,3,242
668367321525518355,1,46
668367321525518355,3,310
670696559020605440,1,17
672738895640920064,1,12
673334907958722570,1,648
673334907958722570,2,105
673604158347018241,1,2
680330238244290602,1,6
682046515736346644,1,15
682672600765562916,1,62
686186439981006866,1,15
686871793251647521,1,59
687769441932673036,1,11
687769441932673036,3,16
689010372123820033,3,244
690411161606291496,1,189
691529916382183424,1,48
691529916382183424,3,156
693721225590997032,1,17
694436739267297400,1,2
694501324557123604,1,3
694906559045828708,1,6
700140207403434005,1,2
700340069994725376,1,211
702737197312245810,1,18
703893493399158784,3,168
704501802963435599,1,10
707036050660393031,3,63
707261531729035377,3,6
707608117071970395,3,16
708691496953708626,1,285
709924914391416944,1,9
711408745493823560,3,188
715244224748191804,1,51
715631926437871789,1,46
716419046614106293,1,2
716875707325743144,3,830
717330882331017236,1,2
717380188417032215,1,87
718107192691261512,1,34
719330725555470366,1,149
