id,carrier,player,amountOfCarries,carryDifficulty,carryType,attachmentLink,time,approver
10,834371688963506217,811799575860871202,8,EMAN,Tier 4,{transcript_url},2023-01-14 23:13:55,
16,834371688963506217,336213563972517891,8,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1063988318473293955/transcript-claimed-t4-eman-1508.html,2023-01-15 02:08:15,
17,356134481452597250,531094512819240960,1,F7,S+,abc,2023-01-15 11:00:08,
18,834371688963506217,350683628440649730,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064140187564777482/transcript-claimed-t4-eman-1519.html,2023-01-15 12:12:52,
19,531094512819240960,265268515173433355,1,EMAN,Tier 4,abc,2023-01-15 18:40:52,
20,356134481452597250,265268515173433355,1,EMAN,Tier 3,abc,2023-01-15 18:43:22,
21,531094512819240960,531094512819240960,2,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064241857162391602/transcript-t4-eman-voxeeer.html,2023-01-15 18:56:35,
22,834371688963506217,168458501717360640,10,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064284320417714206/transcript-t4-eman-20-ggb4.html,2023-01-15 21:45:42,
23,834371688963506217,809199989531344906,3,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064293868461379615/transcript-t4-eman-17-deadcorruption.html,2023-01-15 22:23:33,
24,574048571364605992,574048571364605992,4,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1064315089974476901/transcript-closed-t3-eman-zero1.html,2023-01-15 23:47:43,
25,834371688963506217,990441195509538828,7,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064321794959491152/transcript-t4-eman-24-xghostcasperx.html,2023-01-16 00:14:10,
26,645983752467775500,582684134913212429,3,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1064350337001070622/transcript-closed-t3-eman-23-meekrage.html,2023-01-16 02:07:57,
27,645983752467775500,582684134913212429,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064352320680378479/transcript-t4-eman-23-meekrage.html,2023-01-16 02:15:51,
28,645983752467775500,322177899027496960,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1064373598170648626/transcript-t4-eman-xmaestro.html,2023-01-16 02:47:08,
29,834371688963506217,716875707325743144,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1064578328071254089/transcript-t4-eman-22-turtle2000pox.html,2023-01-16 17:13:44,
30,834371688963506217,716875707325743144,5,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064578328071254089/transcript-t4-eman-22-turtle2000pox.html,2023-01-16 17:13:54,
31,834371688963506217,419125063468580874,2,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064637950694010992/transcript-closed-t3-eman-26-sir_lime_.html,2023-01-16 21:09:36,
32,834371688963506217,766793524053803008,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064651603111579789/transcript-t4-eman-24-sdq_.html,2023-01-16 22:05:05,
33,834371688963506217,766793524053803008,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064655538970955856/transcript-t4-eman-24-sdq_.html,2023-01-16 22:20:48,
34,356134481452597250,884589309037011015,1,EMAN,Tier 3,a,2023-01-16 22:24:23,
35,356134481452597250,884589309037011015,1,EMAN,Tier 4,a,2023-01-16 22:26:02,
36,834371688963506217,608497108508606503,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1064656870024941739/transcript-closed-t3-eman-13-pochachong25.html,2023-01-16 22:26:01,
37,834371688963506217,369642830278426625,8,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064657585665482792/transcript-t4-eman-20-mushystew.html,2023-01-16 22:28:53,
38,834371688963506217,901412016013598720,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1064980985000763552/transcript-t4-eman-24-ewwid.html,2023-01-17 19:53:56,
39,834371688963506217,901412016013598720,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1064980985000763552/transcript-t4-eman-24-ewwid.html,2023-01-17 19:53:45,
40,834371688963506217,497788535252975616,7,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1065048199049523270/transcript-t4-eman-13-krispykroke423.html,2023-01-18 00:20:55,
41,834371688963506217,1059706200209490060,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1065053033458839623/transcript-closed-t3-eman-17-adoon12.html,2023-01-18 00:37:31,
42,726660898793717800,1045091362653089933,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1065117389559177236/transcript-closed-t3-eman-26-soaringmoose.html,2023-01-18 04:55:52,
