id,score
256122701884817419,89
302486608396156928,26
320298518130458624,188
342887154017632257,33
349003721793077251,3
356134481452597250,16
359314447992487936,3
381102853131075586,9
382988984449630219,8
386482662908493824,2
390551076295671808,29
403594293903753217,32
416784745414787074,56
424310292411973654,31
427183306862231573,2
447793347503849483,10
448516647742078996,11
449468151026155520,30
463660046296023051,9
493519656485781535,5
501055704812093470,38
506548230507593748,15
531485809212129290,7
534715144794537984,24
535130368404226049,19
544805031837171713,2
571295050303012901,27
584092935914651658,3
585923691490312194,8
594699772250685440,25
597761579492311041,44
624816573919789056,9
634476639203360779,30
690411161606291496,92
700340069994725376,134
708691496953708626,168
709924914391416944,4
716419046614106293,2
717330882331017236,2
717380188417032215,9
718107192691261512,3
721326063464218635,254
732881183108759613,8
737784120976867370,44
743973275901886486,21
747500781845872775,9
748966690846671049,5
765804971550965781,2
767014335146754058,2
782057419223597056,61
783614706698158090,27
812499432342814771,2
834371688963506217,2
868130222288015410,15
899952552295166002,6
901406923851718668,34
947829191968174081,41
968243197350391828,4
990991977833197578,18
1028781362322354278,3
1030870708647104582,4
1045091362653089933,2
1052583979389288490,22
1089116046276968458,16
