id,carry_type,score
110449466150002688,3,111
126448067271589889,3,54
177432129460895745,1,4
177432129460895745,3,176
180398198731440137,3,616
184779450808795156,1,28
184779450808795156,3,4
191372647735492608,1,2
211635709847666688,3,60
220073204683767809,3,216
222968429777256449,1,31
235890537251602432,1,2
247434995688407051,1,8
247434995688407051,2,10
251331633318330369,4,7
255327008576241674,1,13
256122701884817419,1,607
256122701884817419,2,13
257625152878149632,1,116
268855497682190336,1,2
269170727947599872,1,294
274955334475448321,1,1
282948817282662402,1,27
302470651460190209,1,25
302486608396156928,1,4
310194745466945566,3,66
317394238205853696,1,42
317467270685392896,1,64
322495452710961154,3,120
324326344412626945,1,56
327059932945973248,1,15
331052912149004289,3,69
331215320654282758,1,847
331215320654282758,2,65
337851529325314049,1,49
339717458376261634,1,54
350712591288500224,1,12
356134481452597250,1,167
356134481452597250,3,105
356559845236932618,1,50
356559845236932618,2,5
356559845236932618,3,75
361185457033314305,1,60
361185457033314305,3,8
382366742254452739,3,208
390551076295671808,1,15
396724559493201930,2,5
417719154473304077,1,4
427621308252160000,1,12
428963389054779403,1,22
429759315285377026,3,2347
430682968370184202,1,12
431795358536826890,1,25
431795358536826890,2,270
434769336859754506,1,6
435491743937593354,1,58
436030221745913857,1,25
436830663581106186,1,12
446684207175958530,1,6
448516647742078996,1,6
448516647742078996,3,1194
448516647742078996,4,39
460795363155247125,2,5
460812251105067028,3,72
461973997437976586,1,77
461973997437976586,3,2152
462554041440796674,1,31
463660046296023051,1,3
465913291542364180,3,185
467623277741735936,1,4
472328175758606356,1,147
476117468688023555,1,2
477055910225772554,1,30
477410612960559104,1,12
479063475600228362,1,15
479893165646544908,1,43
485078933247885313,3,40
491445197255737355,2,15
491445197255737355,3,33
492322546855837703,1,66
493519656485781535,1,36
501055704812093470,1,58
501055704812093470,3,6
504606554910359562,1,10
506532368622813205,1,223
510493771947966464,1,35
511195123653017611,3,108
514832950265643019,1,16
514832950265643019,3,126
516014802267668510,1,9
516014802267668510,3,66
516014802267668510,4,2
521227211248893962,1,29
523579580993241098,3,21
526261594800390144,1,563
527501405754359808,4,22
530459104536428544,3,9
534715144794537984,1,33
535418797067206676,1,136
536157612769542145,1,5
541632090240843776,1,14
545961844972716034,1,28
547513111951704065,3,342
551500123981742090,1,15
564353701003657216,1,4
565519369921101843,3,6
566566881679376394,3,8
569506490705117192,1,9
570411065784139814,3,119
571295050303012901,1,11
573902246924779520,1,81
574048571364605992,1,23
574048571364605992,3,370
585923691490312194,1,15
589378233695338507,1,2
594699772250685440,1,10
597761579492311041,1,8
597761579492311041,3,120
605729651087638573,1,3
624816573919789056,1,37
625396652160581662,2,25
627130208780025856,1,23
628573710013562911,3,102
628709323068932125,1,11
633806750885347338,1,24
634476639203360779,1,75
635179004566962186,1,6
635182557717200916,1,63
635923043985653801,1,14
644692456201519105,1,8
644692456201519105,3,39
645301647278604298,3,71
650520515626139668,1,62
651874995202555926,1,19
654527180956631054,1,130
657676444474015775,1,4
660903518236049408,1,10
666041869561626625,1,3
667123457372192771,1,62
668129239543054347,3,242
668367321525518355,1,46
668367321525518355,3,310
672738895640920064,1,12
673334907958722570,1,648
673334907958722570,2,105
680330238244290602,1,6
682672600765562916,1,62
686186439981006866,1,15
686871793251647521,1,2
687769441932673036,1,11
687769441932673036,3,16
689010372123820033,3,244
690411161606291496,1,68
691529916382183424,1,5
691529916382183424,3,111
693721225590997032,1,17
694436739267297400,1,2
694906559045828708,1,6
700140207403434005,1,2
704501802963435599,1,10
707036050660393031,3,63
707261531729035377,3,6
707608117071970395,3,16
708691496953708626,1,48
709924914391416944,1,3
715244224748191804,1,51
715631926437871789,1,46
716875707325743144,3,830
720354256472768612,1,144
720354256472768612,2,70
721229315089367132,3,66
721326063464218635,1,8
729124925998104606,2,5
732693233624285224,1,61
732881183108759613,4,3
733718586430062693,1,4
735587217640259634,1,33
741775079305904228,1,30
741775079305904228,2,15
742290355176603668,1,22
742290355176603668,2,150
742290355176603668,3,212
743158843714043956,1,11
743904072029175899,1,6
747386749940137992,3,655
747500781845872775,1,42
747500781845872775,2,5
747500781845872775,3,910
748966690846671049,3,15
749676383139135528,1,57
750246315811799082,2,50
750595298803318785,3,59
751286240384647252,1,53
759714815253020673,1,189
762202647239196673,1,59
762202647239196673,3,22
769429008701849611,3,27
772819880646672405,1,33
774905030427148318,3,26
774992430750498836,3,3
778520797714448394,1,44
782057419223597056,1,166
785447764376944640,1,116
785447764376944640,2,10
785447764376944640,3,191
787468378734329886,1,140
792086215927136266,1,51
792121289341927477,1,21
793051642413056012,1,17
793998180106502157,1,596
795048346955677748,1,15
795048346955677748,3,18
797316136516976650,3,229
799383106611314688,3,6
802189555260194837,1,9
807701579879940117,2,5
809925441808760872,1,10
828299932351856682,3,317
831709934886453248,1,69
834371688963506217,3,2819
845727545411371040,1,12
852299622348357702,1,3
854067656155594782,1,24
856629488451321908,1,24
863831044813225984,3,45
865795982763622421,3,2
867724558614265876,1,79
868130222288015410,1,216
884589309037011015,1,215
887113140226121788,1,254
901406923851718668,1,2
906968550156169297,1,2
913344405799309322,3,61
916404858746187887,1,18
916712690381123604,1,2
925801540030201898,1,2
925801540030201898,3,1157
927647215676162158,1,16
933443490933776455,1,8
933443490933776455,3,1519
953321807459549184,1,34
953321807459549184,2,155
953402783774683208,1,92
963188382119379024,3,96
966136667402567781,1,6
966679101752614942,1,54
972122387501969478,3,29
980096318359883788,1,115
980863549259784253,1,195
980863549259784253,2,205
992163446072295564,1,10
997049831115739166,1,77
1010460943576207392,3,57
1014978885408010270,3,156
1019067594814279781,3,22
1025423349100318720,1,3
1030948883104272444,1,88
