id,carrier,player,amount,carry_difficulty,attachment_link,time
1127343266514358422,322495452710961154,257292974373863425,8,20,https://cdn.discordapp.com/attachments/796770232340578365/1127343260826869891/transcript-t4-eman-7-boogadoo.html,2023-07-08 22:58:57
1172094331356717096,1110757242107596851,340678396226961409,55,4,https://cdn.discordapp.com/attachments/796770232340578365/1172094327154036836/transcript-closed-f5-11-xsaturaqq.html?ex=655f10e8&is=654c9be8&hm=f895f6628e1235665ab2185d0c9a9b949e5f2dbe07a3b2769279d3aa37a31901&,2023-11-09 08:44:05
1177509362525290556,461973997437976586,1050634326359932950,10,20,https://cdn.discordapp.com/attachments/796770232340578365/1177509359308263474/transcript-t4-eman-24-majorshadd.html?ex=6572c40c&is=65604f0c&hm=56804d412e705c1666db702a78aad314b07c5ec8c8f722f0935939cbecabdac7&,2023-11-24 07:12:09
1177698266859704330,916568989344346122,860428791150936074,8,8,https://cdn.discordapp.com/attachments/796770232340578365/1177698261797191720/transcript-closed-f6-vamptower.html?ex=657373fa&is=6560fefa&hm=33e2ba264ddc9646f8edb13d78594eb90f25a2e9d2cb71d2319f648598db4458&,2023-11-23 05:00:44
1177950745794986085,102029790583730176,441950245128110081,10,20,https://cdn.discordapp.com/attachments/796770232340578365/1177950742145937438/transcript-closed-t3-eman-26-binmabey.html?ex=65745f1e&is=6561ea1e&hm=6f2bce0ccf03af5f7fe669a5e6fcdd6825096623edaa91b1a4cb1098de5e0edd&,2023-11-25 12:33:06
1178146443563905106,461973997437976586,196769182237458432,10,20,https://cdn.discordapp.com/attachments/796770232340578365/1178146441034727434/transcript-t4-eman-23-ang31inaa.html?ex=65751560&is=6562a060&hm=481d550088b3d06045a834b27276af8e61ac4d5c96e39dd1b5c2846caa9b99f2&,2023-11-26 01:33:01
1178153334155255849,461973997437976586,800627353675628564,10,20,https://cdn.discordapp.com/attachments/796770232340578365/1178153330992746506/transcript-t4-eman-28-not_kyzz.html?ex=65751bcb&is=6562a6cb&hm=cefc7c78b6b2836e8d4f378bf7b9cbb7371d0f4480618f187b8f40b8eb5c433d&,2023-11-26 02:00:21
1178166145824604201,570411065784139814,251406358388146176,10,20,https://cdn.discordapp.com/attachments/796770232340578365/1178166142322352250/transcript-closed-t3-eman-1-rellgames.html?ex=657527b9&is=6562b2b9&hm=426b566a7c6df1ce252a05588c9afffe0c7cf7f793ab0cb831e4249af8e907aa&,2023-11-26 02:08:23
1178187980133908540,102029790583730176,860428791150936074,10,20,https://cdn.discordapp.com/attachments/796770232340578365/1178187976921055272/transcript-t4-eman-vamptower.html?ex=65753c0f&is=6562c70f&hm=19e1a2c927e511876881a0b304c33df895a4ae6cf22483b8691f6983659c8110&,2023-11-26 04:17:25
1178370401739477133,488668756088979466,214133517251117056,27,14,https://cdn.discordapp.com/attachments/796770232340578365/1178370398589550643/transcript-closed-mm3-10-evann971.html?ex=6575e5f4&is=656370f4&hm=71c3fe8b6034e711727e53c55b264bd00a526c643850ad09a015741e673e6f3d&,2023-11-26 16:22:49
