id,carrier,player,amount,carry_difficulty,time
1123373606265692161,997049831115739166,337942691092496384,1,5,2023-06-28 00:17:47
1124122452209975416,793998180106502157,392775395314761728,3,7,2023-06-30 02:50:42
1127905724236828672,516014802267668510,1037232529410900049,10,20,2023-07-10 15:45:08
1127905724236828672,516014802267668510,1037232529410900049,1,19,2023-07-10 15:45:23
1127984290194522253,492322546855837703,610861434267631624,2,4,2023-07-10 21:33:32
1128063717213470730,953321807459549184,331052912149004289,1,16,2023-07-10 23:05:53
1127699604192903279,980863549259784253,516054946739912708,1,15,2023-07-10 23:06:01
1127699604192903279,953321807459549184,516054946739912708,1,15,2023-07-10 23:06:09
1128048427536744508,980863549259784253,954780808743370843,1,15,2023-07-10 23:06:20
1128048427536744508,953321807459549184,954780808743370843,1,15,2023-07-10 23:06:35
1128063717213470730,980863549259784253,331052912149004289,1,16,2023-07-10 23:06:36
1136994907047870464,720354256472768612,353537459751223298,15,7,2023-08-04 15:55:26
1157772208186335384,770027965052092436,1084781802662678538,11,4,2023-09-30 21:36:59
1170450994929344562,1048669663762071692,354253676778487819,1,9,2023-11-04 20:39:41
1177281642507812996,257570421212315651,1058145149051490435,1,16,2023-11-23 16:42:10
1177287999231373312,257570421212315651,1058145149051490435,1,16,2023-11-23 16:54:38
1177504216135241800,394338596120821760,1103672190576099388,2,3,2023-11-24 07:34:51
1177751290491715664,236646393631080458,1051259597295464548,5,2,2023-11-25 00:14:15
1178798438637387797,461973997437976586,1062068145336098936,70,20,2023-11-28 06:06:49
1180333052325543959,979145699839078461,798361651836485632,1,15,2023-12-02 22:55:49
