id,carry_type,score
177432129460895745,3,30
180398198731440137,3,616
184779450808795156,1,28
184779450808795156,3,4
220073204683767809,3,216
247434995688407051,2,10
251331633318330369,4,7
256122701884817419,2,13
257625152878149632,1,57
268855497682190336,1,2
269170727947599872,1,294
274955334475448321,1,1
302486608396156928,1,4
310194745466945566,3,66
317394238205853696,1,42
317467270685392896,1,10
322495452710961154,3,120
331052912149004289,3,69
331215320654282758,1,63
331215320654282758,2,65
339717458376261634,1,1
356134481452597250,1,0
356559845236932618,1,26
356559845236932618,2,5
356559845236932618,3,75
382366742254452739,3,208
396724559493201930,2,5
427621308252160000,1,12
428963389054779403,1,22
429759315285377026,3,48
430682968370184202,1,12
431795358536826890,1,23
431795358536826890,2,270
434769336859754506,1,6
435491743937593354,1,53
436030221745913857,1,25
436830663581106186,1,12
448516647742078996,3,207
448516647742078996,4,39
460795363155247125,2,5
460812251105067028,3,72
461973997437976586,1,77
461973997437976586,3,1640
462554041440796674,1,1
463660046296023051,1,3
465913291542364180,3,185
467623277741735936,1,4
476117468688023555,1,2
477410612960559104,1,12
479893165646544908,1,2
485078933247885313,3,40
491445197255737355,2,15
491445197255737355,3,33
492322546855837703,1,66
501055704812093470,3,6
506532368622813205,1,223
511195123653017611,3,69
514832950265643019,1,16
514832950265643019,3,126
516014802267668510,1,8
516014802267668510,3,66
516014802267668510,4,2
523579580993241098,3,21
527501405754359808,4,22
535418797067206676,1,109
547513111951704065,3,342
564353701003657216,1,4
570411065784139814,3,119
573902246924779520,1,81
574048571364605992,1,21
589378233695338507,1,2
594699772250685440,1,10
597761579492311041,1,8
597761579492311041,3,72
624816573919789056,1,31
625396652160581662,2,25
627130208780025856,1,8
633806750885347338,1,24
635179004566962186,1,6
635923043985653801,1,14
645301647278604298,3,71
651874995202555926,1,2
654527180956631054,1,130
657676444474015775,1,4
666041869561626625,1,3
667123457372192771,1,21
668129239543054347,3,75
668367321525518355,1,46
668367321525518355,3,310
673334907958722570,1,55
673334907958722570,2,105
680330238244290602,1,6
686186439981006866,1,15
687769441932673036,1,11
687769441932673036,3,16
689010372123820033,3,244
690411161606291496,1,45
700140207403434005,1,2
704501802963435599,1,10
707036050660393031,3,63
707261531729035377,3,6
707608117071970395,3,16
708691496953708626,1,21
709924914391416944,1,3
715244224748191804,1,51
716875707325743144,3,830
720354256472768612,1,144
720354256472768612,2,70
721326063464218635,1,8
729124925998104606,2,5
732693233624285224,1,61
732881183108759613,4,3
741775079305904228,1,30
741775079305904228,2,15
742290355176603668,1,22
742290355176603668,2,150
742290355176603668,3,212
743904072029175899,1,2
747386749940137992,3,10
747500781845872775,1,15
747500781845872775,2,5
747500781845872775,3,9
748966690846671049,3,15
749676383139135528,1,42
750246315811799082,2,50
750595298803318785,3,35
751286240384647252,1,53
759714815253020673,1,189
762202647239196673,1,6
769429008701849611,3,27
785447764376944640,2,10
792121289341927477,1,21
793051642413056012,1,17
793998180106502157,1,76
797316136516976650,3,79
802189555260194837,1,9
807701579879940117,2,5
809925441808760872,1,10
828299932351856682,3,287
831709934886453248,1,69
854067656155594782,1,24
863831044813225984,3,45
865795982763622421,3,2
867724558614265876,1,30
868130222288015410,1,24
887113140226121788,1,254
901406923851718668,1,2
916404858746187887,1,18
925801540030201898,3,300
927647215676162158,1,16
933443490933776455,1,8
933443490933776455,3,1355
953321807459549184,1,24
953321807459549184,2,155
953402783774683208,1,92
963188382119379024,3,21
966679101752614942,1,30
972122387501969478,3,29
980096318359883788,1,85
980863549259784253,1,23
980863549259784253,2,205
992163446072295564,1,10
997049831115739166,1,77
1010460943576207392,3,57
1019067594814279781,3,22
1025423349100318720,1,3
1048669663762071692,1,2
1052583979389288490,1,56
1052583979389288490,2,25
1055484796580675654,1,24
1072398567966253108,1,44
1076971293179654225,1,9
1076971293179654225,2,6
1089019749700222976,3,138
1096721005919084544,3,2
1116284449190064220,3,282
1121095332483313797,1,20
