id,score
211635709847666688,34
310194745466945566,6
312780855133339658,14
320677214654038017,30
356134481452597250,92
358935258537787392,84
408320569348456448,21
429643127259922432,41
444645441980858368,905
449468151026155520,0
451167640577245184,10
465913291542364180,454
500824605246881792,13
501055704812093470,8
513475066139508737,104
530459104536428544,416
531094512819240960,9
561893110976610304,15
565519369921101843,-1
570267487393021969,6
574048571364605992,18
576899415185424424,23
594236901377048606,3
634476639203360779,42
644692456201519105,59
645983752467775500,11
650091855060664400,30
691529916382183424,45
703893493399158784,114
726660898793717800,602
726716297114550273,1558
729031219748274227,4
742996014344044566,6
752944456931606633,2
795048346955677748,117
829834616068243486,57
834371688963506217,2527
884589309037011015,0
974714890461798440,8
990165657133920266,12
990991977833197578,1136
